datetime,open,high,low,close,volume
2026-05-24 19:55:00+00:00,76735.1,76756.3,76718.6,76738.0,3157.91
2026-05-24 20:00:00+00:00,76737.9,76764.1,76642.4,76670.0,11817.77
2026-05-24 20:05:00+00:00,76670.0,76701.7,76620.0,76660.0,7070.29
2026-05-24 20:10:00+00:00,76660.0,76688.6,76650.0,76650.0,4130.92
2026-05-24 20:15:00+00:00,76650.0,76683.5,76617.1,76639.4,8012.1
2026-05-24 20:20:00+00:00,76639.3,76676.8,76588.9,76630.1,5746.13
2026-05-24 20:25:00+00:00,76630.0,76649.9,76566.6,76649.9,3724.69
2026-05-24 20:30:00+00:00,76650.0,76680.9,76610.5,76624.1,10030.42
2026-05-24 20:35:00+00:00,76624.1,76694.0,76614.4,76635.1,9965.96
2026-05-24 20:40:00+00:00,76635.1,76677.0,76632.6,76651.1,2829.85
2026-05-24 20:45:00+00:00,76651.1,76689.0,76623.6,76661.1,4398.41
2026-05-24 20:50:00+00:00,76661.2,76661.2,76604.0,76617.0,3407.56
2026-05-24 20:55:00+00:00,76617.0,76629.2,76582.1,76629.2,4913.65
2026-05-24 21:00:00+00:00,76629.2,76716.3,76609.7,76679.1,11359.78
2026-05-24 21:05:00+00:00,76679.0,76685.5,76641.4,76666.8,2793.37
2026-05-24 21:10:00+00:00,76666.8,76681.5,76638.6,76681.5,7889.2
2026-05-24 21:15:00+00:00,76681.5,76687.5,76653.4,76687.5,1724.52
2026-05-24 21:20:00+00:00,76687.5,76687.5,76659.2,76662.5,3169.07
2026-05-24 21:25:00+00:00,76662.5,76662.5,76433.3,76495.2,20883.11
2026-05-24 21:30:00+00:00,76495.1,76548.7,76306.8,76377.1,57072.35
2026-05-24 21:35:00+00:00,76377.2,76379.8,76078.3,76188.1,156982.82
2026-05-24 21:40:00+00:00,76188.0,76314.2,76078.3,76105.6,26338.76
2026-05-24 21:45:00+00:00,76105.6,76200.6,76050.2,76125.5,46745.41
2026-05-24 21:50:00+00:00,76125.4,76224.0,76125.4,76188.1,28672.5
2026-05-24 21:55:00+00:00,76188.1,76240.5,76075.0,76111.5,24056.86
2026-05-24 22:00:00+00:00,76111.5,76653.0,76090.0,76564.9,126505.1
2026-05-24 22:05:00+00:00,76564.9,76888.0,76540.0,76860.8,53305.3
2026-05-24 22:10:00+00:00,76860.7,76986.2,76769.9,76946.0,78688.49
2026-05-24 22:15:00+00:00,76946.1,76946.1,76775.4,76817.0,42991.1
2026-05-24 22:20:00+00:00,76817.0,76920.0,76788.0,76879.6,18496.88
2026-05-24 22:25:00+00:00,76879.5,76891.8,76800.0,76802.1,9140.05
2026-05-24 22:30:00+00:00,76802.0,76925.1,76802.0,76820.0,12847.18
2026-05-24 22:35:00+00:00,76819.9,76826.8,76649.8,76736.3,35777.07
2026-05-24 22:40:00+00:00,76736.2,76750.0,76619.0,76750.0,16467.14
2026-05-24 22:45:00+00:00,76749.9,76964.7,76749.9,76826.8,18507.37
2026-05-24 22:50:00+00:00,76826.8,76889.6,76755.2,76764.9,27556.95
2026-05-24 22:55:00+00:00,76764.9,76822.4,76736.9,76759.6,14720.49
2026-05-24 23:00:00+00:00,76759.6,76917.6,76759.2,76863.5,18028.33
2026-05-24 23:05:00+00:00,76863.5,76896.1,76811.1,76891.7,10312.96
2026-05-24 23:10:00+00:00,76891.8,76930.0,76865.4,76918.0,11043.03
2026-05-24 23:15:00+00:00,76918.0,76981.8,76847.6,76883.4,16569.74
2026-05-24 23:20:00+00:00,76883.5,76918.6,76842.6,76843.8,6447.5
2026-05-24 23:25:00+00:00,76843.8,76850.2,76750.0,76816.9,20410.56
2026-05-24 23:30:00+00:00,76816.9,76950.0,76807.7,76917.1,29365.29
2026-05-24 23:35:00+00:00,76917.1,77125.0,76911.6,77060.4,45772.15
2026-05-24 23:40:00+00:00,77060.4,77198.0,76962.1,77166.4,91582.51
2026-05-24 23:45:00+00:00,77166.3,77166.3,77076.4,77125.7,21641.14
2026-05-24 23:50:00+00:00,77125.7,77164.6,77060.1,77083.1,17827.26
2026-05-24 23:55:00+00:00,77083.1,77083.2,77012.9,77029.9,10631.56
2026-05-25 00:00:00+00:00,77030.0,77165.9,77029.9,77100.0,42458.91
2026-05-25 00:05:00+00:00,77100.0,77174.8,77088.4,77146.3,12681.54
2026-05-25 00:10:00+00:00,77146.2,77170.0,77110.0,77154.1,24581.97
2026-05-25 00:15:00+00:00,77154.1,77189.0,77102.2,77134.4,13078.25
2026-05-25 00:20:00+00:00,77134.5,77217.9,77086.6,77199.9,24013.54
2026-05-25 00:25:00+00:00,77199.9,77231.3,77119.9,77182.5,13067.65
2026-05-25 00:30:00+00:00,77182.5,77239.6,77108.1,77134.5,15955.22
2026-05-25 00:35:00+00:00,77134.6,77190.0,77120.8,77167.2,15198.34
2026-05-25 00:40:00+00:00,77167.1,77170.0,77084.0,77084.0,8600.4
2026-05-25 00:45:00+00:00,77084.0,77280.2,77055.0,77195.0,24999.36
2026-05-25 00:50:00+00:00,77194.9,77200.0,77115.0,77153.6,9978.67
2026-05-25 00:55:00+00:00,77153.7,77153.7,77077.8,77124.9,8171.85
2026-05-25 01:00:00+00:00,77124.9,77164.8,76930.1,77082.8,68774.65
